monitoring_id,monitoring_date,monitoring_time,model_name,model_version,accuracy,precision,recall,f1_score,auc_roc,predictions_count,avg_inference_time_ms,data_drift_score,feature_importance_shift,null_predictions_percent,model_type,is_anomaly,alert_level
MON-000033,2025-09-17,08:00,CREDIT_SCORING_V2,v1.7,0.8567,0.8572,0.8515,0.8447,0.9147,857,6.99,0.5887,0.1152,1.1,Classification,True,WARNING
MON-000034,2025-09-17,20:00,CREDIT_SCORING_V2,v4.0,0.8474,0.8462,0.8357,0.8328,0.9084,3044,10.68,0.3207,0.1875,1.41,Classification,True,WARNING
MON-000035,2025-09-18,08:00,CREDIT_SCORING_V2,v3.0,0.8429,0.827,0.823,0.8231,0.8965,4809,26.46,0.1554,0.1556,0.22,Classification,False,OK
MON-000036,2025-09-18,20:00,CREDIT_SCORING_V2,v4.5,0.8546,0.8406,0.8536,0.8474,0.8913,10592,31.16,0.4147,0.1764,2.59,Classification,True,WARNING
MON-000037,2025-09-19,08:00,CREDIT_SCORING_V2,v3.5,0.8511,0.8607,0.837,0.8436,0.8956,1240,17.43,0.0417,0.2106,4.47,Classification,False,OK
MON-000038,2025-09-19,20:00,CREDIT_SCORING_V2,v1.0,0.8325,0.8366,0.8362,0.81,0.8893,1429,13.4,0.2913,0.1241,1.58,Classification,False,OK
MON-000039,2025-09-20,08:00,CREDIT_SCORING_V2,v3.2,0.8674,0.8766,0.8715,0.8565,0.9199,3665,8.65,0.4135,0.1805,0.52,Classification,True,WARNING
MON-000040,2025-09-20,20:00,CREDIT_SCORING_V2,v4.5,0.8691,0.8812,0.8715,0.8429,0.9127,5656,40.16,0.2428,0.2298,3.16,Classification,False,OK
MON-000041,2025-09-21,08:00,CREDIT_SCORING_V2,v1.1,0.8358,0.8027,0.8444,0.8216,0.8961,1659,26.31,0.1289,0.14,1.67,Classification,False,OK
MON-000042,2025-09-21,20:00,CREDIT_SCORING_V2,v4.7,0.9132,0.9091,0.8782,0.8974,0.9691,5743,10.86,0.3577,0.142,0.34,Classification,True,WARNING
MON-000043,2025-09-22,08:00,CREDIT_SCORING_V2,v2.1,0.8304,0.8189,0.8529,0.8138,0.8907,1634,23.75,0.5109,0.2101,0.69,Classification,True,WARNING
MON-000044,2025-09-22,20:00,CREDIT_SCORING_V2,v2.6,0.8616,0.8604,0.8607,0.8418,0.9154,3358,20.82,0.0183,0.2021,1.86,Classification,False,OK
MON-000045,2025-09-23,08:00,CREDIT_SCORING_V2,v1.7,0.8606,0.842,0.8709,0.8439,0.9034,802,33.75,0.2857,0.1794,0.82,Classification,False,OK
MON-000046,2025-09-23,20:00,CREDIT_SCORING_V2,v1.2,0.8637,0.8697,0.8487,0.8463,0.9283,4533,21.86,0.0543,0.3629,4.5,Classification,False,OK
MON-000047,2025-09-24,08:00,CREDIT_SCORING_V2,v3.3,0.8835,0.8901,0.8643,0.8435,0.9403,4963,19.21,0.2665,0.1854,0.42,Classification,False,OK
MON-000048,2025-09-24,20:00,CREDIT_SCORING_V2,v4.6,0.8438,0.8665,0.8514,0.8405,0.8991,3639,27.32,0.2347,0.1071,0.95,Classification,False,OK
MON-000049,2025-09-25,08:00,CREDIT_SCORING_V2,v3.4,0.8501,0.8491,0.861,0.8392,0.9091,455,32.81,0.3994,0.176,1.32,Classification,True,WARNING
MON-000050,2025-09-25,20:00,CREDIT_SCORING_V2,v3.6,0.8577,0.8645,0.8393,0.836,0.9051,2001,20.19,0.1634,0.2172,1.64,Classification,False,OK
MON-000051,2025-09-26,08:00,CREDIT_SCORING_V2,v2.8,0.8155,0.8252,0.8245,0.8085,0.8713,4270,11.47,0.4942,0.0425,0.46,Classification,True,WARNING
MON-000052,2025-09-26,20:00,CREDIT_SCORING_V2,v3.1,0.8519,0.8691,0.8624,0.8298,0.9008,1347,26.82,0.1962,0.1018,0.81,Classification,False,OK
MON-000053,2025-09-27,08:00,CREDIT_SCORING_V2,v4.7,0.8572,0.8459,0.8666,0.8138,0.8998,9947,27.42,0.3512,0.063,0.05,Classification,True,WARNING
MON-000054,2025-09-27,20:00,CREDIT_SCORING_V2,v2.2,0.835,0.844,0.8373,0.8216,0.8716,29027,23.54,0.2901,0.107,0.18,Classification,False,OK
MON-000055,2025-09-28,08:00,CREDIT_SCORING_V2,v3.6,0.7495,0.7535,0.7542,0.7188,0.7794,1237,24.76,0.2456,0.1489,0.32,Classification,True,CRITICAL
MON-000056,2025-09-28,20:00,CREDIT_SCORING_V2,v1.5,0.8544,0.8382,0.88,0.8242,0.9082,5583,15.56,0.1614,0.1998,0.94,Classification,False,OK
MON-000057,2025-09-29,08:00,CREDIT_SCORING_V2,v2.1,0.8344,0.8391,0.8257,0.807,0.877,2553,21.48,0.2981,0.0315,1.13,Classification,False,OK
MON-000058,2025-09-29,20:00,CREDIT_SCORING_V2,v2.4,0.8377,0.8451,0.8508,0.8218,0.8827,4656,32.47,0.0871,0.2252,5.29,Classification,False,OK
MON-000059,2025-09-30,08:00,CREDIT_SCORING_V2,v1.2,0.8333,0.8164,0.8396,0.8182,0.8756,2659,24.86,0.3039,0.1034,3.32,Classification,True,WARNING
MON-000060,2025-09-30,20:00,CREDIT_SCORING_V2,v4.6,0.8339,0.8332,0.8134,0.8276,0.8687,2476,32.24,0.1572,0.1327,0.01,Classification,False,OK
MON-000061,2025-10-01,08:00,CREDIT_SCORING_V2,v3.0,0.8558,0.8566,0.8345,0.8266,0.9165,1879,31.93,0.1449,0.2815,1.09,Classification,False,OK
MON-000062,2025-10-01,20:00,CREDIT_SCORING_V2,v2.3,0.8576,0.8581,0.8601,0.8333,0.9279,4986,49.96,0.3667,0.2255,1.21,Classification,True,WARNING
MON-000063,2025-10-02,08:00,CREDIT_SCORING_V2,v4.4,0.858,0.8643,0.8341,0.8535,0.8901,656,35.55,0.1561,0.0655,8.29,Classification,False,OK
MON-000064,2025-10-02,20:00,CREDIT_SCORING_V2,v1.6,0.8626,0.8566,0.8266,0.8504,0.9164,1479,15.3,0.3043,0.3648,2.94,Classification,True,WARNING
MON-000065,2025-10-03,08:00,CREDIT_SCORING_V2,v4.8,0.7991,0.7881,0.8486,0.7861,0.8372,3234,16.06,0.1848,0.2739,0.09,Classification,True,WARNING
MON-000066,2025-10-03,20:00,CREDIT_SCORING_V2,v4.2,0.8925,0.8974,0.878,0.8743,0.9506,1638,8.03,0.6067,0.1148,0.76,Classification,True,WARNING
MON-000067,2025-10-04,08:00,CREDIT_SCORING_V2,v3.6,0.8671,0.8828,0.8809,0.8537,0.9312,10188,13.45,0.2771,0.2206,1.93,Classification,False,OK
MON-000068,2025-10-04,20:00,CREDIT_SCORING_V2,v4.2,0.8283,0.8433,0.8318,0.812,0.8861,5133,25.53,0.3571,0.2164,3.73,Classification,True,WARNING
MON-000069,2025-10-05,08:00,CREDIT_SCORING_V2,v1.1,0.8496,0.8735,0.8845,0.8336,0.8904,1018,31.69,0.43,0.3268,0.59,Classification,True,WARNING
MON-000070,2025-10-05,20:00,CREDIT_SCORING_V2,v1.2,0.7578,0.7541,0.7862,0.7472,0.8008,2308,12.59,0.2476,0.2132,3.89,Classification,True,WARNING
MON-000071,2025-10-06,08:00,CREDIT_SCORING_V2,v2.5,0.8493,0.8477,0.8578,0.8234,0.895,6535,30.18,0.5173,0.1011,2.04,Classification,True,WARNING
MON-000072,2025-10-06,20:00,CREDIT_SCORING_V2,v1.3,0.8207,0.7992,0.7995,0.8062,0.8777,4048,21.67,0.2078,0.2604,0.86,Classification,False,OK
MON-000073,2025-10-07,08:00,CREDIT_SCORING_V2,v1.5,0.8442,0.838,0.8672,0.8082,0.892,2629,35.61,0.2125,0.2441,3.54,Classification,False,OK
MON-000074,2025-10-07,20:00,CREDIT_SCORING_V2,v4.9,0.8467,0.8309,0.8281,0.8298,0.9036,2565,36.3,0.1548,0.1207,0.02,Classification,False,OK
MON-000075,2025-10-08,08:00,CREDIT_SCORING_V2,v1.6,0.822,0.8185,0.838,0.8006,0.8721,9627,24.53,0.1784,0.2966,1.37,Classification,False,OK
MON-000076,2025-10-08,20:00,CREDIT_SCORING_V2,v4.4,0.8491,0.8628,0.8343,0.8401,0.8985,786,17.04,0.2017,0.1157,2.64,Classification,False,OK
MON-000077,2025-10-09,08:00,CREDIT_SCORING_V2,v3.7,0.8413,0.852,0.8339,0.8108,0.8926,18628,23.44,0.3767,0.3261,1.17,Classification,True,WARNING
MON-000078,2025-10-09,20:00,CREDIT_SCORING_V2,v1.6,0.8269,0.8236,0.8618,0.8123,0.8765,3660,32.92,0.3394,0.1722,0.04,Classification,True,WARNING
MON-000079,2025-10-10,08:00,CREDIT_SCORING_V2,v2.9,0.8672,0.8615,0.8709,0.8559,0.9017,16536,37.45,0.4085,0.1351,1.48,Classification,True,WARNING
MON-000080,2025-10-10,20:00,CREDIT_SCORING_V2,v2.8,0.8418,0.8337,0.8301,0.8323,0.8823,2884,17.44,0.0758,0.4397,1.84,Classification,False,OK
MON-000081,2025-10-11,08:00,CREDIT_SCORING_V2,v2.3,0.769,0.7776,0.7657,0.7472,0.8355,35993,38.62,0.2955,0.164,5.61,Classification,True,WARNING
MON-000082,2025-10-11,20:00,CREDIT_SCORING_V2,v3.1,0.8528,0.8497,0.8564,0.8323,0.9076,1583,18.71,0.1646,0.0664,1.14,Classification,False,OK
MON-000083,2025-10-12,08:00,CREDIT_SCORING_V2,v3.3,0.8409,0.8435,0.8281,0.8282,0.9089,3220,75.54,0.2555,0.2934,0.52,Classification,False,OK
MON-000084,2025-10-12,20:00,CREDIT_SCORING_V2,v4.3,0.8294,0.8361,0.8391,0.8015,0.8705,6736,15.64,0.2289,0.3043,1.35,Classification,False,OK
MON-000085,2025-10-13,08:00,CREDIT_SCORING_V2,v4.1,0.8252,0.8326,0.813,0.8043,0.8752,6531,13.14,0.3788,0.2415,1.36,Classification,True,WARNING
MON-000086,2025-10-13,20:00,CREDIT_SCORING_V2,v2.3,0.8524,0.8246,0.8203,0.8268,0.9004,1253,31.43,0.247,0.2055,2.82,Classification,False,OK
MON-000087,2025-10-14,08:00,CREDIT_SCORING_V2,v2.3,0.8559,0.8616,0.8527,0.8211,0.8955,701,29.67,0.3127,0.2618,0.11,Classification,True,WARNING
MON-000088,2025-10-14,20:00,CREDIT_SCORING_V2,v1.2,0.8318,0.8328,0.8227,0.8296,0.865,1288,11.15,0.1257,0.1951,0.12,Classification,False,OK
MON-000089,2025-10-15,08:00,CREDIT_SCORING_V2,v4.0,0.8245,0.8064,0.8266,0.8082,0.8646,2339,19.39,0.4725,0.1704,0.01,Classification,True,WARNING
MON-000090,2025-10-15,20:00,CREDIT_SCORING_V2,v3.3,0.8626,0.8764,0.8596,0.8351,0.9231,2578,27.04,0.3193,0.051,1.1,Classification,True,WARNING
MON-000091,2025-10-16,08:00,CREDIT_SCORING_V2,v2.6,0.8635,0.8654,0.8765,0.8232,0.9087,3313,20.53,0.2732,0.0937,3.99,Classification,False,OK
MON-000092,2025-10-16,20:00,CREDIT_SCORING_V2,v1.9,0.832,0.8166,0.8428,0.8185,0.8789,6142,32.32,0.0452,0.1396,0.71,Classification,False,OK
MON-000093,2025-10-17,08:00,CREDIT_SCORING_V2,v2.1,0.8449,0.839,0.8147,0.8126,0.8948,2671,24.75,0.3117,0.0545,1.63,Classification,True,WARNING
MON-000094,2025-10-17,20:00,CREDIT_SCORING_V2,v1.6,0.8589,0.8568,0.8582,0.8351,0.9105,406,30.51,0.2916,0.0498,1.42,Classification,False,OK
MON-000095,2025-10-18,08:00,CREDIT_SCORING_V2,v4.8,0.8265,0.8526,0.8198,0.8095,0.8735,7877,22.83,0.1937,0.2684,3.15,Classification,False,OK
MON-000096,2025-10-18,20:00,CREDIT_SCORING_V2,v3.3,0.831,0.8222,0.8264,0.8022,0.8771,9526,33.38,0.1408,0.1453,0.07,Classification,False,OK
MON-000097,2025-10-19,08:00,CREDIT_SCORING_V2,v2.5,0.8649,0.858,0.838,0.8638,0.9188,4121,33.66,0.2668,0.1706,3.23,Classification,False,OK
MON-000098,2025-10-19,20:00,CREDIT_SCORING_V2,v4.7,0.8307,0.8325,0.7831,0.804,0.897,2247,22.04,0.2632,0.2265,0.71,Classification,False,OK
MON-000099,2025-10-20,08:00,CREDIT_SCORING_V2,v1.8,0.8498,0.8713,0.8723,0.8207,0.8937,3841,19.93,0.3339,0.1748,0.19,Classification,True,WARNING
MON-000100,2025-10-20,20:00,CREDIT_SCORING_V2,v4.0,0.8504,0.8481,0.8469,0.8356,0.8851,9531,16.91,0.6879,0.1353,0.7,Classification,True,WARNING
MON-000101,2025-10-21,08:00,CREDIT_SCORING_V2,v3.1,0.8245,0.82,0.8289,0.8045,0.8682,979,17.6,0.1589,0.1145,2.38,Classification,False,OK
MON-000102,2025-10-21,20:00,CREDIT_SCORING_V2,v3.5,0.8681,0.8699,0.8577,0.8696,0.9171,1606,23.59,0.2061,0.0699,0.22,Classification,False,OK
MON-000103,2025-10-22,08:00,CREDIT_SCORING_V2,v3.5,0.8172,0.8139,0.7957,0.8147,0.8488,1582,29.03,0.2179,0.1074,3.55,Classification,False,OK
MON-000104,2025-10-22,20:00,CREDIT_SCORING_V2,v4.3,0.854,0.8505,0.8458,0.8516,0.9049,970,36.03,0.3019,0.2902,2.31,Classification,True,WARNING
MON-000105,2025-10-23,08:00,CREDIT_SCORING_V2,v3.0,0.8392,0.8488,0.824,0.8278,0.8949,43001,8.58,0.5389,0.134,0.2,Classification,True,WARNING
MON-000106,2025-10-23,20:00,CREDIT_SCORING_V2,v2.0,0.8504,0.8455,0.8596,0.84,0.8901,3380,6.4,0.3868,0.1763,3.06,Classification,True,WARNING
MON-000107,2025-10-24,08:00,CREDIT_SCORING_V2,v1.0,0.7413,0.7378,0.7463,0.7228,0.7883,963,18.7,0.191,0.0385,0.11,Classification,True,CRITICAL
MON-000108,2025-10-24,20:00,CREDIT_SCORING_V2,v3.3,0.8257,0.8357,0.8356,0.8158,0.8825,751,21.48,0.7138,0.2546,0.3,Classification,True,WARNING
MON-000109,2025-10-25,08:00,CREDIT_SCORING_V2,v3.7,0.8423,0.828,0.8481,0.819,0.892,6911,7.59,0.2776,0.2062,0.26,Classification,False,OK
MON-000110,2025-10-25,20:00,CREDIT_SCORING_V2,v3.9,0.8578,0.8544,0.8287,0.8394,0.9094,9357,22.49,0.4361,0.2422,2.58,Classification,True,WARNING
MON-000111,2025-10-26,08:00,CREDIT_SCORING_V2,v1.6,0.8434,0.8268,0.838,0.8129,0.8924,7748,11.48,0.2321,0.1319,6.53,Classification,False,OK
MON-000112,2025-10-26,20:00,CREDIT_SCORING_V2,v2.4,0.8387,0.8337,0.8264,0.8177,0.8896,19451,21.49,0.2553,0.1783,0.25,Classification,False,OK
MON-000113,2025-10-27,08:00,CREDIT_SCORING_V2,v4.5,0.8086,0.8051,0.8111,0.7979,0.8744,1920,7.7,0.2221,0.0513,4.66,Classification,False,OK
MON-000114,2025-10-27,20:00,CREDIT_SCORING_V2,v3.4,0.7019,0.6985,0.692,0.6985,0.7576,824,15.22,0.3881,0.2079,2.3,Classification,True,CRITICAL
MON-000115,2025-10-28,08:00,CREDIT_SCORING_V2,v1.1,0.6877,0.6838,0.6923,0.6783,0.7173,38967,22.92,0.1419,0.1123,1.24,Classification,True,CRITICAL
MON-000116,2025-10-28,20:00,CREDIT_SCORING_V2,v1.8,0.865,0.8678,0.8703,0.8611,0.9166,1505,26.82,0.1806,0.122,1.58,Classification,False,OK
MON-000117,2025-10-29,08:00,CREDIT_SCORING_V2,v2.5,0.8404,0.8292,0.8366,0.8097,0.9081,5640,21.19,0.3525,0.0494,0.39,Classification,True,WARNING
MON-000118,2025-10-29,20:00,CREDIT_SCORING_V2,v3.5,0.8583,0.8622,0.8625,0.8463,0.9088,1287,11.67,0.4198,0.5133,0.18,Classification,True,WARNING
MON-000119,2025-10-30,08:00,CREDIT_SCORING_V2,v3.3,0.8326,0.8276,0.8383,0.8073,0.8645,8706,24.37,0.4348,0.3018,1.57,Classification,True,WARNING
MON-000120,2025-10-30,20:00,CREDIT_SCORING_V2,v3.3,0.8069,0.8144,0.8087,0.7948,0.8466,830,13.1,0.1175,0.0806,0.7,Classification,False,OK
MON-000121,2025-10-31,08:00,CREDIT_SCORING_V2,v4.1,0.8678,0.8672,0.8731,0.8425,0.9168,38651,25.25,0.4898,0.1106,4.45,Classification,True,WARNING
MON-000122,2025-10-31,20:00,CREDIT_SCORING_V2,v1.2,0.8327,0.8268,0.8426,0.8105,0.8748,4396,46.38,0.7548,0.3817,0.95,Classification,True,WARNING
MON-000123,2025-11-01,08:00,CREDIT_SCORING_V2,v1.0,0.8668,0.8536,0.8613,0.8578,0.933,776,17.18,0.5573,0.3745,1.28,Classification,True,WARNING
MON-000124,2025-11-01,20:00,CREDIT_SCORING_V2,v2.3,0.8437,0.8467,0.8326,0.8292,0.8831,355,56.97,0.2189,0.1048,0.15,Classification,False,OK
MON-000125,2025-11-02,08:00,CREDIT_SCORING_V2,v4.1,0.8757,0.8737,0.8809,0.85,0.9252,2773,27.29,0.6111,0.18,4.77,Classification,True,WARNING
MON-000126,2025-11-02,20:00,CREDIT_SCORING_V2,v1.8,0.9117,0.9263,0.903,0.8787,0.9617,8956,17.79,0.089,0.3807,2.19,Classification,False,OK
MON-000127,2025-11-03,08:00,CREDIT_SCORING_V2,v3.4,0.8569,0.8723,0.8568,0.8312,0.9224,1878,51.86,0.5838,0.1801,1.18,Classification,True,WARNING
MON-000128,2025-11-03,20:00,CREDIT_SCORING_V2,v4.3,0.8207,0.8158,0.8187,0.8036,0.8698,10862,20.1,0.4275,0.1542,3.78,Classification,True,WARNING
MON-000129,2025-11-04,08:00,CREDIT_SCORING_V2,v2.0,0.859,0.8354,0.8843,0.8299,0.9204,1079,12.97,0.2082,0.1516,2.65,Classification,False,OK
MON-000130,2025-11-04,20:00,CREDIT_SCORING_V2,v2.3,0.8555,0.8644,0.8669,0.8408,0.903,6391,14.77,0.1945,0.3273,2.98,Classification,False,OK
MON-000131,2025-11-05,08:00,CREDIT_SCORING_V2,v4.8,0.8233,0.818,0.8418,0.7961,0.8721,2256,20.9,0.3199,0.2907,5.75,Classification,True,WARNING
MON-000132,2025-11-05,20:00,CREDIT_SCORING_V2,v3.8,0.8348,0.8313,0.8409,0.8162,0.881,6167,14.2,0.227,0.2497,6.69,Classification,False,OK
MON-000133,2025-11-06,08:00,CREDIT_SCORING_V2,v3.5,0.8391,0.8511,0.8434,0.8255,0.8717,1309,16.77,0.202,0.202,0.87,Classification,False,OK
MON-000134,2025-11-06,20:00,CREDIT_SCORING_V2,v4.1,0.855,0.8585,0.8612,0.8331,0.9151,1671,14.87,0.2361,0.1928,0.77,Classification,False,OK
MON-000135,2025-11-07,08:00,CREDIT_SCORING_V2,v4.1,0.8296,0.8381,0.8227,0.8234,0.8868,748,26.76,0.1167,0.0963,1.35,Classification,False,OK
MON-000136,2025-11-07,20:00,CREDIT_SCORING_V2,v4.6,0.8271,0.8377,0.81,0.8142,0.8769,9578,54.16,0.2183,0.0671,0.49,Classification,False,OK
MON-000137,2025-11-08,08:00,CREDIT_SCORING_V2,v1.2,0.8244,0.8227,0.8331,0.7988,0.8697,1824,18.84,0.0999,0.1112,2.74,Classification,False,OK
MON-000138,2025-11-08,20:00,CREDIT_SCORING_V2,v3.2,0.8104,0.8173,0.8181,0.7831,0.8481,1834,12.85,0.5196,0.2029,1.03,Classification,True,WARNING
MON-000139,2025-11-09,08:00,CREDIT_SCORING_V2,v3.0,0.8604,0.8615,0.8818,0.8584,0.905,1788,19.38,0.2635,0.3687,0.74,Classification,False,OK
MON-000140,2025-11-09,20:00,CREDIT_SCORING_V2,v1.3,0.8495,0.8549,0.8624,0.8433,0.8991,5140,12.34,0.4077,0.0991,1.62,Classification,True,WARNING
MON-000141,2025-11-10,08:00,CREDIT_SCORING_V2,v4.7,0.8636,0.8652,0.8571,0.8428,0.9168,315,96.27,0.2402,0.3954,2.35,Classification,False,OK
MON-000142,2025-11-10,20:00,CREDIT_SCORING_V2,v1.2,0.8335,0.8471,0.8168,0.8197,0.8882,828,34.62,0.321,0.261,4.75,Classification,True,WARNING
MON-000143,2025-11-11,08:00,CREDIT_SCORING_V2,v4.8,0.8329,0.8201,0.8381,0.8134,0.8737,11555,43.67,0.0152,0.0263,0.28,Classification,False,OK
MON-000144,2025-11-11,20:00,CREDIT_SCORING_V2,v4.8,0.8546,0.8503,0.855,0.8439,0.8959,3755,30.58,0.227,0.053,1.31,Classification,False,OK
MON-000145,2025-11-12,08:00,CREDIT_SCORING_V2,v4.6,0.8655,0.8646,0.8571,0.8498,0.9148,1627,11.1,0.2929,0.1094,0.15,Classification,False,OK
MON-000146,2025-11-12,20:00,CREDIT_SCORING_V2,v3.3,0.8674,0.8686,0.8756,0.8303,0.914,7209,24.73,0.2867,0.2052,1.58,Classification,False,OK
MON-000147,2025-11-13,08:00,CREDIT_SCORING_V2,v2.0,0.8254,0.8126,0.8076,0.8201,0.8822,3657,24.77,0.1382,0.1278,0.66,Classification,False,OK
MON-000148,2025-11-13,20:00,CREDIT_SCORING_V2,v2.9,0.8666,0.8592,0.8573,0.8625,0.9026,11525,34.65,0.1999,0.0878,2.12,Classification,False,OK
MON-000149,2025-11-14,08:00,CREDIT_SCORING_V2,v2.9,0.8778,0.8781,0.9205,0.8556,0.9335,1621,24.09,0.2881,0.5085,1.62,Classification,False,OK
MON-000150,2025-11-14,20:00,CREDIT_SCORING_V2,v1.8,0.8561,0.8507,0.8413,0.842,0.9067,1341,13.28,0.0668,0.2042,1.07,Classification,False,OK
MON-000151,2025-11-15,08:00,CREDIT_SCORING_V2,v4.8,0.8708,0.8537,0.8774,0.864,0.9146,746,56.22,0.2172,0.3382,0.79,Classification,False,OK
