incident_id,incident_date,data_source,check_type,check_name,severity,status,affected_records,total_records,detection_time,resolution_time_hours,root_cause,is_recurrent,sla_breach,error_rate_percent
INC-000024,2025-09-07,INTERNET_BANK,COMPLETENESS_CHECK,CHECK_518,MEDIUM,IN_PROGRESS,107,4225,20:39,,DATABASE_CORRUPTION,False,False,2.53
INC-000025,2026-01-22,LOAN_REGISTRY,FORMAT_CHECK,CHECK_789,LOW,CLOSED,68,175843,18:25,15.33,UNKNOWN,False,False,0.04
INC-000026,2025-10-21,CREDIT_BUREAU,ACCURACY_CHECK,CHECK_611,LOW,CLOSED,30,14785,02:05,5.35,SOURCE_SYSTEM_ERROR,False,False,0.2
INC-000027,2026-03-03,CREDIT_BUREAU,RANGE_CHECK,CHECK_242,LOW,RESOLVED,189,79199,05:21,18.76,DATABASE_CORRUPTION,False,False,0.24
INC-000028,2026-02-14,SCORING_ENGINE,CONSISTENCY_CHECK,CHECK_748,LOW,REOPENED,87,64181,07:20,1.76,UNKNOWN,False,False,0.14
INC-000029,2026-02-27,INTERNET_BANK,SCHEMA_VALIDATION,CHECK_410,MEDIUM,CLOSED,262,18789,10:41,5.39,UNKNOWN,False,False,1.39
INC-000030,2026-01-18,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_347,LOW,REOPENED,764,42872,09:45,7.48,CONFIGURATION_ERROR,True,False,1.78
INC-000031,2025-12-17,FRAUD_DETECTION,SCHEMA_VALIDATION,CHECK_358,HIGH,RESOLVED,235,33113,08:38,6.62,DATABASE_CORRUPTION,False,False,0.71
INC-000032,2025-10-27,CRM_CLIENTS,NULL_CHECK,CHECK_774,LOW,IN_PROGRESS,244,2206,20:25,,API_INTEGRATION_ISSUE,False,False,11.06
INC-000033,2025-12-24,LOAN_REGISTRY,ACCURACY_CHECK,CHECK_257,LOW,CLOSED,50,58375,08:56,7.06,MANUAL_DATA_ENTRY,False,False,0.09
INC-000034,2026-01-29,SCORING_ENGINE,NULL_CHECK,CHECK_832,CRITICAL,CLOSED,1554,5366,14:49,53.91,BUSINESS_LOGIC_ERROR,False,False,28.96
INC-000035,2025-11-11,CREDIT_BUREAU,COMPLETENESS_CHECK,CHECK_533,LOW,IN_PROGRESS,27,2596,11:47,,API_INTEGRATION_ISSUE,False,False,1.04
INC-000036,2025-09-02,FRAUD_DETECTION,ACCURACY_CHECK,CHECK_908,LOW,CLOSED,5,121696,18:33,17.57,SOURCE_SYSTEM_ERROR,False,False,0.0
INC-000037,2026-03-14,LOAN_REGISTRY,ACCURACY_CHECK,CHECK_486,MEDIUM,OPEN,17,6750,14:26,,API_INTEGRATION_ISSUE,False,True,0.25
INC-000038,2025-10-11,CRM_CLIENTS,NULL_CHECK,CHECK_175,LOW,RESOLVED,1174,203084,05:11,6.41,SOURCE_SYSTEM_ERROR,False,False,0.58
INC-000039,2026-02-26,CRM_CLIENTS,DUPLICATE_CHECK,CHECK_559,HIGH,RESOLVED,371,198138,00:08,12.05,API_INTEGRATION_ISSUE,False,False,0.19
INC-000040,2025-12-18,PAYMENT_SYSTEM,NULL_CHECK,CHECK_712,MEDIUM,CLOSED,2046,8488,23:15,23.05,DATA_DRIFT,False,False,24.1
INC-000041,2025-11-27,PAYMENT_SYSTEM,SCHEMA_VALIDATION,CHECK_590,MEDIUM,RESOLVED,10,186592,21:16,7.54,API_INTEGRATION_ISSUE,False,False,0.01
INC-000042,2025-11-11,MOBILE_APP,DUPLICATE_CHECK,CHECK_696,MEDIUM,CLOSED,15374,10110,23:44,24.01,API_INTEGRATION_ISSUE,False,False,152.07
INC-000043,2025-10-10,SCORING_ENGINE,SCHEMA_VALIDATION,CHECK_510,LOW,CLOSED,84,19210,23:05,1.18,SOURCE_SYSTEM_ERROR,False,True,0.44
INC-000044,2025-10-26,INTERNET_BANK,COMPLETENESS_CHECK,CHECK_647,LOW,CLOSED,4,59134,06:10,12.7,BUSINESS_LOGIC_ERROR,False,False,0.01
INC-000045,2025-11-26,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_618,LOW,REOPENED,11986,1301193,12:06,4.86,DATABASE_CORRUPTION,False,False,0.92
INC-000046,2025-09-27,LOAN_REGISTRY,FRESHNESS_CHECK,CHECK_990,MEDIUM,CLOSED,10,144609,03:04,5.87,ETL_PIPELINE_FAILURE,False,False,0.01
INC-000047,2025-09-24,INTERNET_BANK,DUPLICATE_CHECK,CHECK_808,LOW,REOPENED,66,19622,15:35,10.16,ETL_PIPELINE_FAILURE,False,False,0.34
INC-000048,2025-12-07,MOBILE_APP,COMPLETENESS_CHECK,CHECK_528,HIGH,OPEN,98,27081,01:01,,MANUAL_DATA_ENTRY,False,False,0.36
INC-000049,2025-09-25,CREDIT_BUREAU,CONSISTENCY_CHECK,CHECK_656,LOW,RESOLVED,360,928,12:33,5.77,CONFIGURATION_ERROR,False,True,38.79
INC-000050,2025-12-01,CREDIT_BUREAU,COMPLETENESS_CHECK,CHECK_137,MEDIUM,IN_PROGRESS,30,164325,02:06,,ETL_PIPELINE_FAILURE,False,True,0.02
INC-000051,2025-11-28,MOBILE_APP,NULL_CHECK,CHECK_909,HIGH,RESOLVED,1186,132544,08:39,11.56,UNKNOWN,False,False,0.89
INC-000052,2026-02-02,CREDIT_BUREAU,NULL_CHECK,CHECK_468,LOW,CLOSED,669,38831,04:05,8.45,SOURCE_SYSTEM_ERROR,False,False,1.72
INC-000053,2025-11-07,PAYMENT_SYSTEM,FRESHNESS_CHECK,CHECK_818,MEDIUM,OPEN,154,92550,20:59,,ETL_PIPELINE_FAILURE,False,False,0.17
INC-000054,2025-09-12,LOAN_REGISTRY,COMPLETENESS_CHECK,CHECK_931,MEDIUM,RESOLVED,2097,383,12:19,2.75,MANUAL_DATA_ENTRY,False,False,547.52
INC-000055,2026-03-06,MOBILE_APP,FORMAT_CHECK,CHECK_649,MEDIUM,CLOSED,129,2531,07:15,17.87,UNKNOWN,False,False,5.1
INC-000056,2025-12-27,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_708,HIGH,CLOSED,85,808509,23:18,19.3,CONFIGURATION_ERROR,False,False,0.01
INC-000057,2026-01-16,INTERNET_BANK,NULL_CHECK,CHECK_753,HIGH,RESOLVED,8072,13154,14:40,2.89,NETWORK_TIMEOUT,False,False,61.37
INC-000058,2025-10-02,CRM_CLIENTS,FRESHNESS_CHECK,CHECK_187,CRITICAL,CLOSED,268,100194,04:08,3.64,MANUAL_DATA_ENTRY,False,False,0.27
INC-000059,2025-12-06,PAYMENT_SYSTEM,REFERENTIAL_INTEGRITY,CHECK_211,MEDIUM,IN_PROGRESS,20,4947,16:53,,SOURCE_SYSTEM_ERROR,False,False,0.4
INC-000060,2025-09-21,FRAUD_DETECTION,COMPLETENESS_CHECK,CHECK_887,HIGH,RESOLVED,27,9096,05:01,25.91,NETWORK_TIMEOUT,True,False,0.3
INC-000061,2026-01-20,PAYMENT_SYSTEM,COMPLETENESS_CHECK,CHECK_354,LOW,CLOSED,154,899294,01:42,17.85,API_INTEGRATION_ISSUE,True,False,0.02
INC-000062,2025-11-15,MOBILE_APP,ACCURACY_CHECK,CHECK_773,MEDIUM,CLOSED,1,16076,11:55,0.93,NETWORK_TIMEOUT,False,True,0.01
INC-000063,2026-02-08,FRAUD_DETECTION,FRESHNESS_CHECK,CHECK_780,LOW,RESOLVED,41,62762,10:55,21.45,ETL_PIPELINE_FAILURE,False,False,0.07
INC-000064,2026-02-06,CRM_CLIENTS,NULL_CHECK,CHECK_463,LOW,CLOSED,121,28592,15:29,0.45,MANUAL_DATA_ENTRY,False,False,0.42
INC-000065,2025-12-02,MOBILE_APP,FORMAT_CHECK,CHECK_270,MEDIUM,RESOLVED,106,36056,17:59,3.5,DATABASE_CORRUPTION,False,False,0.29
INC-000066,2026-01-26,SCORING_ENGINE,COMPLETENESS_CHECK,CHECK_762,LOW,RESOLVED,12,33673,08:35,30.16,NETWORK_TIMEOUT,True,False,0.04
INC-000067,2025-10-20,LOAN_REGISTRY,FORMAT_CHECK,CHECK_727,LOW,OPEN,60,421,14:08,,API_INTEGRATION_ISSUE,False,False,14.25
INC-000068,2026-02-28,CRM_CLIENTS,COMPLETENESS_CHECK,CHECK_145,LOW,CLOSED,1571,57189,22:34,18.25,API_INTEGRATION_ISSUE,False,False,2.75
INC-000069,2025-09-18,LOAN_REGISTRY,NULL_CHECK,CHECK_676,MEDIUM,CLOSED,1039,7515,05:37,7.34,SOURCE_SYSTEM_ERROR,False,False,13.83
INC-000070,2025-09-12,CREDIT_BUREAU,REFERENTIAL_INTEGRITY,CHECK_760,HIGH,IN_PROGRESS,179,773850,19:29,,SOURCE_SYSTEM_ERROR,False,True,0.02
INC-000071,2026-02-17,SCORING_ENGINE,RANGE_CHECK,CHECK_793,LOW,RESOLVED,129,4697,20:47,25.6,NETWORK_TIMEOUT,False,False,2.75
INC-000072,2025-10-29,SCORING_ENGINE,REFERENTIAL_INTEGRITY,CHECK_762,LOW,CLOSED,107,8576,20:56,12.84,DATA_DRIFT,False,False,1.25
INC-000073,2025-11-14,CRM_CLIENTS,COMPLETENESS_CHECK,CHECK_509,LOW,RESOLVED,238,2935029,18:27,4.2,API_INTEGRATION_ISSUE,False,False,0.01
INC-000074,2025-09-21,SCORING_ENGINE,SCHEMA_VALIDATION,CHECK_870,MEDIUM,IN_PROGRESS,182,93602,16:40,,MANUAL_DATA_ENTRY,True,False,0.19
INC-000075,2025-10-30,FRAUD_DETECTION,RANGE_CHECK,CHECK_439,LOW,CLOSED,283,3081,20:34,25.59,DATA_DRIFT,False,False,9.19
INC-000076,2025-09-26,SCORING_ENGINE,RANGE_CHECK,CHECK_915,LOW,IN_PROGRESS,404,31345,09:58,,API_INTEGRATION_ISSUE,False,True,1.29
INC-000077,2025-12-07,LOAN_REGISTRY,FORMAT_CHECK,CHECK_540,MEDIUM,CLOSED,13,1918,11:30,12.92,DATA_DRIFT,False,False,0.68
INC-000078,2025-11-11,LOAN_REGISTRY,FRESHNESS_CHECK,CHECK_208,HIGH,IN_PROGRESS,79,36870,17:14,,DATABASE_CORRUPTION,False,False,0.21
INC-000079,2025-12-26,MOBILE_APP,FORMAT_CHECK,CHECK_110,HIGH,CLOSED,220,4408,02:28,0.48,NETWORK_TIMEOUT,False,False,4.99
INC-000080,2026-02-10,LOAN_REGISTRY,FORMAT_CHECK,CHECK_200,LOW,RESOLVED,21,917765,09:23,11.13,BUSINESS_LOGIC_ERROR,False,False,0.0
INC-000081,2025-12-03,MOBILE_APP,SCHEMA_VALIDATION,CHECK_364,LOW,CLOSED,38,51111,13:16,14.02,MANUAL_DATA_ENTRY,False,False,0.07
INC-000082,2025-10-12,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_327,LOW,IN_PROGRESS,95,63266,04:19,,SOURCE_SYSTEM_ERROR,False,False,0.15
INC-000083,2025-12-04,FRAUD_DETECTION,REFERENTIAL_INTEGRITY,CHECK_622,MEDIUM,CLOSED,105,147193,00:00,22.28,UNKNOWN,False,False,0.07
INC-000084,2025-11-30,INTERNET_BANK,CONSISTENCY_CHECK,CHECK_864,MEDIUM,CLOSED,228,184102,16:52,31.62,CONFIGURATION_ERROR,False,False,0.12
INC-000085,2025-10-24,MOBILE_APP,COMPLETENESS_CHECK,CHECK_631,MEDIUM,RESOLVED,27,5551,04:22,3.26,UNKNOWN,False,False,0.49
INC-000086,2026-02-19,PAYMENT_SYSTEM,SCHEMA_VALIDATION,CHECK_671,MEDIUM,RESOLVED,1028,26633,09:30,22.43,DATABASE_CORRUPTION,False,False,3.86
INC-000087,2025-11-08,CREDIT_BUREAU,CONSISTENCY_CHECK,CHECK_694,LOW,CLOSED,104,9036,17:00,13.14,ETL_PIPELINE_FAILURE,False,False,1.15
INC-000088,2026-02-27,CRM_CLIENTS,NULL_CHECK,CHECK_804,LOW,CLOSED,198,1451555,22:59,10.43,API_INTEGRATION_ISSUE,False,False,0.01
INC-000089,2026-02-22,LOAN_REGISTRY,COMPLETENESS_CHECK,CHECK_689,LOW,OPEN,70,228,15:48,,SOURCE_SYSTEM_ERROR,False,False,30.7
INC-000090,2026-02-13,SCORING_ENGINE,COMPLETENESS_CHECK,CHECK_326,LOW,OPEN,237,6972,15:19,,API_INTEGRATION_ISSUE,False,False,3.4
INC-000091,2025-09-19,INTERNET_BANK,ACCURACY_CHECK,CHECK_556,MEDIUM,CLOSED,4198,18771,00:49,18.78,SCHEMA_CHANGE,False,False,22.36
INC-000092,2026-02-03,LOAN_REGISTRY,ACCURACY_CHECK,CHECK_483,MEDIUM,IN_PROGRESS,69,28965,13:51,,MANUAL_DATA_ENTRY,False,False,0.24
INC-000093,2026-02-10,SCORING_ENGINE,DUPLICATE_CHECK,CHECK_500,LOW,REOPENED,49,27806,09:38,18.58,CONFIGURATION_ERROR,True,False,0.18
INC-000094,2025-10-14,CREDIT_BUREAU,DUPLICATE_CHECK,CHECK_574,LOW,CLOSED,28,20084,07:50,7.2,NETWORK_TIMEOUT,False,False,0.14
INC-000095,2026-01-15,CREDIT_BUREAU,FORMAT_CHECK,CHECK_890,HIGH,CLOSED,131,15917,00:35,1.49,API_INTEGRATION_ISSUE,False,False,0.82
INC-000096,2026-03-06,CREDIT_BUREAU,NULL_CHECK,CHECK_795,MEDIUM,IN_PROGRESS,128,35688,11:12,,SOURCE_SYSTEM_ERROR,False,False,0.36
INC-000097,2025-11-02,SCORING_ENGINE,RANGE_CHECK,CHECK_702,HIGH,IN_PROGRESS,164,55437,13:56,,BUSINESS_LOGIC_ERROR,False,False,0.3
INC-000098,2025-10-12,LOAN_REGISTRY,RANGE_CHECK,CHECK_807,LOW,CLOSED,378,791288,17:27,1.27,API_INTEGRATION_ISSUE,False,True,0.05
INC-000099,2025-12-28,CREDIT_BUREAU,ACCURACY_CHECK,CHECK_612,MEDIUM,CLOSED,294,777408,12:15,1.4,API_INTEGRATION_ISSUE,False,False,0.04
INC-000100,2025-12-07,FRAUD_DETECTION,ACCURACY_CHECK,CHECK_254,MEDIUM,REOPENED,141,40214,05:45,18.17,BUSINESS_LOGIC_ERROR,False,False,0.35
INC-000101,2025-11-09,MOBILE_APP,ACCURACY_CHECK,CHECK_453,HIGH,IN_PROGRESS,7387,8178,23:41,,CONFIGURATION_ERROR,False,False,90.33
INC-000102,2026-02-11,SCORING_ENGINE,SCHEMA_VALIDATION,CHECK_125,MEDIUM,IN_PROGRESS,590,9407,12:53,,MANUAL_DATA_ENTRY,False,False,6.27
INC-000103,2026-02-24,SCORING_ENGINE,FRESHNESS_CHECK,CHECK_594,LOW,OPEN,16,1590,12:14,,UNKNOWN,False,True,1.01
INC-000104,2026-01-21,LOAN_REGISTRY,DUPLICATE_CHECK,CHECK_207,MEDIUM,CLOSED,6,148222,08:05,21.28,API_INTEGRATION_ISSUE,False,True,0.0
INC-000105,2025-10-27,SCORING_ENGINE,SCHEMA_VALIDATION,CHECK_402,LOW,RESOLVED,36,20141,13:40,0.86,API_INTEGRATION_ISSUE,False,False,0.18
INC-000106,2026-02-23,SCORING_ENGINE,REFERENTIAL_INTEGRITY,CHECK_525,LOW,OPEN,201,52813,07:33,,NETWORK_TIMEOUT,False,False,0.38
INC-000107,2025-11-23,CREDIT_BUREAU,RANGE_CHECK,CHECK_187,LOW,IN_PROGRESS,31,42937,19:51,,BUSINESS_LOGIC_ERROR,False,False,0.07
INC-000108,2025-09-15,LOAN_REGISTRY,COMPLETENESS_CHECK,CHECK_218,HIGH,RESOLVED,42,5457,22:43,1.69,MANUAL_DATA_ENTRY,False,False,0.77
INC-000109,2025-10-29,CREDIT_BUREAU,DUPLICATE_CHECK,CHECK_951,LOW,REOPENED,156,4263,08:18,13.02,MANUAL_DATA_ENTRY,False,False,3.66
INC-000110,2025-09-09,MOBILE_APP,CONSISTENCY_CHECK,CHECK_847,MEDIUM,RESOLVED,74,8903,20:47,7.23,SCHEMA_CHANGE,False,False,0.83
INC-000111,2025-11-20,INTERNET_BANK,REFERENTIAL_INTEGRITY,CHECK_245,LOW,IN_PROGRESS,2,58189,17:51,,CONFIGURATION_ERROR,False,False,0.0
INC-000112,2025-12-12,MOBILE_APP,DUPLICATE_CHECK,CHECK_456,LOW,RESOLVED,1279,18741,08:26,14.27,SCHEMA_CHANGE,False,True,6.82
INC-000113,2025-11-08,INTERNET_BANK,SCHEMA_VALIDATION,CHECK_419,MEDIUM,RESOLVED,804,645,06:54,36.19,DATABASE_CORRUPTION,True,False,124.65
INC-000114,2025-09-17,CREDIT_BUREAU,NULL_CHECK,CHECK_451,HIGH,OPEN,11,2840,02:11,,ETL_PIPELINE_FAILURE,True,False,0.39
INC-000115,2025-10-25,MOBILE_APP,COMPLETENESS_CHECK,CHECK_566,MEDIUM,IN_PROGRESS,166,12903,04:18,,CONFIGURATION_ERROR,False,False,1.29
INC-000116,2026-01-24,LOAN_REGISTRY,DUPLICATE_CHECK,CHECK_903,MEDIUM,CLOSED,15,20726,03:40,43.6,DATABASE_CORRUPTION,False,False,0.07
INC-000117,2026-03-03,CRM_CLIENTS,FRESHNESS_CHECK,CHECK_311,HIGH,IN_PROGRESS,43,61756,14:39,,ETL_PIPELINE_FAILURE,True,False,0.07
INC-000118,2025-11-20,CREDIT_BUREAU,ACCURACY_CHECK,CHECK_633,HIGH,IN_PROGRESS,392,23825,14:17,,SOURCE_SYSTEM_ERROR,False,True,1.65
INC-000119,2025-10-25,INTERNET_BANK,ACCURACY_CHECK,CHECK_594,MEDIUM,RESOLVED,750,10663,22:39,12.6,CONFIGURATION_ERROR,False,False,7.03
INC-000120,2026-02-15,FRAUD_DETECTION,COMPLETENESS_CHECK,CHECK_456,CRITICAL,CLOSED,715,9954,15:12,25.45,BUSINESS_LOGIC_ERROR,False,False,7.18
INC-000121,2026-01-06,INTERNET_BANK,SCHEMA_VALIDATION,CHECK_587,HIGH,CLOSED,242,32955,10:01,3.53,UNKNOWN,False,False,0.73
INC-000122,2025-12-11,FRAUD_DETECTION,ACCURACY_CHECK,CHECK_199,MEDIUM,CLOSED,1901,50822,04:03,0.35,DATABASE_CORRUPTION,False,False,3.74
INC-000123,2026-02-12,SCORING_ENGINE,DUPLICATE_CHECK,CHECK_548,HIGH,CLOSED,43,11388,17:01,8.84,API_INTEGRATION_ISSUE,False,True,0.38
INC-000124,2025-12-27,MOBILE_APP,CONSISTENCY_CHECK,CHECK_839,MEDIUM,CLOSED,68,2551,05:06,7.64,SCHEMA_CHANGE,False,False,2.67
INC-000125,2025-10-07,FRAUD_DETECTION,RANGE_CHECK,CHECK_813,MEDIUM,OPEN,0,18084,09:17,,ETL_PIPELINE_FAILURE,False,False,0.0
INC-000126,2025-11-07,INTERNET_BANK,RANGE_CHECK,CHECK_563,MEDIUM,CLOSED,123,6004,04:45,24.85,DATABASE_CORRUPTION,False,False,2.05
INC-000127,2025-10-06,SCORING_ENGINE,REFERENTIAL_INTEGRITY,CHECK_426,LOW,IN_PROGRESS,473,39150,14:46,,DATA_DRIFT,False,False,1.21
INC-000128,2025-11-03,CRM_CLIENTS,FORMAT_CHECK,CHECK_168,MEDIUM,RESOLVED,262,425702,00:14,23.43,CONFIGURATION_ERROR,False,True,0.06
INC-000129,2026-03-10,LOAN_REGISTRY,NULL_CHECK,CHECK_407,MEDIUM,CLOSED,42,1475,02:09,2.12,SCHEMA_CHANGE,False,False,2.85
INC-000130,2026-01-22,LOAN_REGISTRY,COMPLETENESS_CHECK,CHECK_145,MEDIUM,RESOLVED,803,220002,00:31,14.15,MANUAL_DATA_ENTRY,False,False,0.36
INC-000131,2026-01-16,LOAN_REGISTRY,REFERENTIAL_INTEGRITY,CHECK_929,LOW,CLOSED,128,56279,06:21,44.32,SCHEMA_CHANGE,False,False,0.23
INC-000132,2025-11-07,FRAUD_DETECTION,FORMAT_CHECK,CHECK_827,LOW,RESOLVED,687,199921,13:19,11.36,UNKNOWN,False,False,0.34
INC-000133,2026-03-11,CRM_CLIENTS,SCHEMA_VALIDATION,CHECK_217,LOW,CLOSED,392,9214,15:23,2.26,DATABASE_CORRUPTION,False,False,4.25
INC-000134,2026-01-28,FRAUD_DETECTION,FRESHNESS_CHECK,CHECK_123,LOW,CLOSED,2563,1221,14:44,65.62,BUSINESS_LOGIC_ERROR,False,False,209.91
INC-000135,2025-12-19,MOBILE_APP,FRESHNESS_CHECK,CHECK_969,HIGH,REOPENED,292,31551,01:21,9.02,SOURCE_SYSTEM_ERROR,False,False,0.93
INC-000136,2026-01-28,FRAUD_DETECTION,NULL_CHECK,CHECK_451,MEDIUM,CLOSED,502,361989,02:53,22.0,ETL_PIPELINE_FAILURE,False,False,0.14
INC-000137,2025-12-12,CRM_CLIENTS,ACCURACY_CHECK,CHECK_763,CRITICAL,CLOSED,127,2641,04:03,1.94,SCHEMA_CHANGE,False,False,4.81
INC-000138,2025-12-02,CRM_CLIENTS,DUPLICATE_CHECK,CHECK_211,LOW,CLOSED,54,3566,08:49,13.16,SOURCE_SYSTEM_ERROR,False,False,1.51
INC-000139,2025-10-27,MOBILE_APP,REFERENTIAL_INTEGRITY,CHECK_793,LOW,RESOLVED,396,71281,12:04,29.25,UNKNOWN,False,False,0.56
INC-000140,2025-10-06,CRM_CLIENTS,REFERENTIAL_INTEGRITY,CHECK_919,LOW,IN_PROGRESS,2997,7907,17:30,,API_INTEGRATION_ISSUE,True,False,37.9
INC-000141,2026-01-09,INTERNET_BANK,COMPLETENESS_CHECK,CHECK_268,MEDIUM,CLOSED,43,616719,05:12,4.09,MANUAL_DATA_ENTRY,False,False,0.01
INC-000142,2026-01-05,CRM_CLIENTS,COMPLETENESS_CHECK,CHECK_858,LOW,REOPENED,90,81157,08:52,1.64,NETWORK_TIMEOUT,False,False,0.11
INC-000143,2025-09-24,LOAN_REGISTRY,FRESHNESS_CHECK,CHECK_349,MEDIUM,CLOSED,156,5226,12:53,4.21,API_INTEGRATION_ISSUE,False,False,2.99
INC-000144,2026-03-13,INTERNET_BANK,FRESHNESS_CHECK,CHECK_628,CRITICAL,CLOSED,583,7120,00:07,5.26,DATA_DRIFT,False,True,8.19
INC-000145,2025-09-13,INTERNET_BANK,CONSISTENCY_CHECK,CHECK_278,MEDIUM,CLOSED,296,7706,22:15,14.85,MANUAL_DATA_ENTRY,False,False,3.84
INC-000146,2025-09-29,MOBILE_APP,CONSISTENCY_CHECK,CHECK_665,MEDIUM,IN_PROGRESS,921,20214,12:49,,DATA_DRIFT,False,False,4.56
INC-000147,2025-10-10,PAYMENT_SYSTEM,ACCURACY_CHECK,CHECK_263,MEDIUM,IN_PROGRESS,7691,40493,14:15,,BUSINESS_LOGIC_ERROR,False,False,18.99
INC-000148,2026-02-08,PAYMENT_SYSTEM,CONSISTENCY_CHECK,CHECK_438,LOW,RESOLVED,41,34991,23:02,5.87,ETL_PIPELINE_FAILURE,False,False,0.12
INC-000149,2025-10-11,CRM_CLIENTS,DUPLICATE_CHECK,CHECK_673,HIGH,IN_PROGRESS,502,2322,06:29,,API_INTEGRATION_ISSUE,False,False,21.62
INC-000150,2026-02-22,INTERNET_BANK,DUPLICATE_CHECK,CHECK_536,MEDIUM,CLOSED,281,133753,23:49,11.88,BUSINESS_LOGIC_ERROR,True,False,0.21
INC-000151,2025-12-18,PAYMENT_SYSTEM,REFERENTIAL_INTEGRITY,CHECK_573,MEDIUM,REOPENED,154,12330,03:33,14.75,CONFIGURATION_ERROR,False,False,1.25
